CÓDIGO ,CALLE ,NÚMERO ,LOCALIDAD ,PROVINCIA ,HORARIOS 
PTW,CHELEMIN JUAN,0,LONDRES,CATAMARCA,LUN A VIE 08.00 A 13.00 / LUN A VIE 16.00 A 21.00 / SAB 08.00 A 13.00
PTX,LOS BRACHOS,0,SAN ISIDRO,CATAMARCA,LUN A VIE 08.00 A 13.00 / LUN A VIE 17.00 A 20.00 / SAB 08.00 A 13.00
PTY,PUEYRREDON,1893,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 09.00 A 19.00 / SAB 09.00 A 14.00
PTZ,YRIGOYEN PRESIDENTE HIPOLITO,3899,LANUS OESTE,BUENOS AIRES,LUN A VIE 09.00 A 17.00
PUA,LOZA VICTORIANO,550,MERLO,BUENOS AIRES,LUN A VIE 09.00 A 18.30 / SAB 10.00 A 13.00
PUC,QUIRNO COSTA,1237,SAN FERNANDO,BUENOS AIRES,LUN A VIE 09.00 A 19.00 / SAB 09.00 A 14.00
PUE,BERON DE ASTRADA,2980,REMEDIOS DE ESCALADA,BUENOS AIRES,LUN A VIE 08.00 A 19.00 / SAB 08.30 A 14.00
PUF,PERON EVA,536,GENERAL RODRIGUEZ,BUENOS AIRES,LUN A VIE 07.30 A 21.00 / SAB 08.00 A 21.00 / DOM 10.00 A 21.00
PUG,YRIGOYEN PRESIDENTE HIPOLITO,1159,CORREA,SANTA FE,LUN A VIE 08.30 A 12.00 / LUN A VIE 16.00 A 20.00 / SAB 10.00 A 12.00
PUH,OCAMPO,911,CAÑADA DE GOMEZ,SANTA FE,LUN A VIE 10.00 A 12.00 / LUN A VIE 16.00 A 19.00 / SAB 16.00 A 20.00
PUI,23,396,LAS PAREJAS,SANTA FE,LUN A VIE 08.00 A 12.00 / LUN A VIE 15.30 A 19.00 / SAB 09.00 A 12.00 / SAB 17.00 A 19.00
PUK,ENTRE RIOS,276,CORZUELA,CHACO,LUN A SAB 08.00 A 12.30 / LUN A SAB 16.00 A 20.30
PSM,SAN MARTIN GENERAL JOSE DE,28,QUITILIPI,CHACO,LUN A DOM 09.00 A 02.00
PUL,SAN JUAN,4172,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 09.30 A 17.30
PUM,PUMACAHUA,1690,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 09.00 A 18.00 / SAB 09.00 A 13.00
PUO,RIVERA,1023,CIUDAD MADERO,BUENOS AIRES,LUN A VIE 10.00 A 19.00 / SAB 12.00 A 16.00
PUQ,PERU,2412,SAN JUSTO,BUENOS AIRES,LUN A VIE 09.00 A 18.00 / SAB 09.00 A 16.00
PUU,JUNIN BATALLA DE,167,SAN MIGUEL DE TUCUMAN,TUCUMAN,LUN A VIE 09.00 A 13.00 / LUN A VIE 17.00 A 21.00 / SAB 09.00 A 14.00
PUV,MITRE GENERAL BARTOLOME,1804,SALTA,SALTA,LUN A VIE 08.00 A 21.00 / DOM 08.00 A 12.00
PUW,LOS NOGALES,92,PERICO,JUJUY,LUN A SAB 08.00 A 13.00 / LUN A SAB 17.00 A 21.30
PSQ,S/C,0,LA MERCED,CATAMARCA,LUN A VIE 08.00 A 14.00 / LUN A VIE 17.00 A 21.00 / SAB 08.00 A 14.00
PUX,ZUVIRIA DOCTOR FACUNDO DE,6598,SANTA FE,SANTA FE,LUN A DOM 06.00 A 10.00
PVA,DUARTE DE PERON MARIA EVA,2213,POSADAS,MISIONES,LUN A VIE 09.00 A 13.00 / LUN A VIE 17.00 A 20.00 / SAB 09.00 A 13.30 / SAB 17.30 A 20.00
PVB,BELGRANO DOCTOR MANUEL,0,TACO POZO,CHACO,LUN A VIE 08.30 A 12.30 / LUN A VIE 17.00 A 21.30 / SAB 09.00 A 13.00 / SAB 17.00 A 21.30
PVC,CAAGUAZU,7430,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 09.30 A 17.00
PVD,PEDERNERA,213,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 09.00 A 19.00
PVF,LIBERTADOR GENERAL SAN MARTIN,4007,CASEROS,BUENOS AIRES,LUN A VIE 09.00 A 18.30
PVG,SANTA FE,1019,MARTINEZ,BUENOS AIRES,LUN A VIE 07.00 A 19.00
PVH,FLEMING SIR ALEXANDER,870,MARTINEZ,BUENOS AIRES,LUN A VIE 09.00 A 19.00 / SAB 10.00 A 13.00
PVI,311,0,SAN PEDRO DE COLALAO,TUCUMAN,LUN A DOM 17.00 A 24.00
PVK,ALDAO GOBERNADOR RICARDO,1629,SANTA FE,SANTA FE,LUN A VIE 08.30 A 12.30 / LUN A VIE 16.00 A 20.00 / SAB 08.00 A 12.00
PVL,RAMIREZ GENERAL FRANCISCO,1264,PARANA,ENTRE RIOS,LUN A VIE 08.30 A 13.00 / LUN A VIE 16.30 A 20.30
PVM,PUBLICA,0,AIMOGASTA,LA RIOJA,LUN A SAB 09.00 A 14.00 / LUN A SAB 18.00 A 22.00 / DOM 10.00 A 14.00
PVN,YRIGOYEN PRESIDENTE HIPOLITO,2500,LUZURIAGA,MENDOZA,LUN A VIE 17.00 A 20.30 / LUN A VIE 10.00 A 13.30 / SAB 10.00 A 13.00 / SAB 18.00 A 20.00
PVO,50,4435,RODEO DEL MEDIO,MENDOZA,LUN A VIE 09.00 A 13.00 / LUN A VIE 17.00 A 20.30 / SAB 09.00 A 14.00
PVP,BRAILLE LUIS,6030,CAPILLA DEL ROSARIO,MENDOZA,LUN A VIE 10.00 A 13.00 / LUN A VIE 18.00 A 21.00 / SAB 10.00 A 13.00
PVR,25 DE MAYO,183,VILLA IRIS,BUENOS AIRES,LUN A SAB 08.30 A 21.00 / DOM 10.00 A 21.00
PVS,DUARTE EVA,220,SAN VICENTE,MISIONES,LUN A VIE 08.00 A 12.30 / LUN A VIE 15.30 A 20.00 / SAB 09.00 A 12.00 / SAB 17.00 A 20.00
PVT,CALLE PUBLICA S/N,                              ,PASO DE LA LAGUNA,ENTRE RIOS,LUN A VIE 08.00 A 12.00
PVU,20 DE FEBRERO,1,SAN SALVADOR DE JUJUY,JUJUY,LUN A SAB 08.30 A 20.00
PVX,9 DE JULIO,174,FERNANDEZ,SANTIAGO DEL ESTERO,LUN A SAB 08.00 A 12.30 / LUN A SAB 17.00 A 21.30
PVW,SAN MARTIN GENERAL JOSE DE,0,EL QUEBRACHAL,SALTA,LUN A VIE 08.00 A 13.00
PVV,ILLIA ARTURO,527,COLONIA TIROLESA,CORDOBA,LUN A SAB 08.00 A 13.00 / LUN A SAB 15.00 A 19.00
PWB,FUNES JUAN GILBERTO,1347,SAN LUIS,SAN LUIS,LUN A SAB 09.00 A 13.00 / LUN A SAB 16.30 A 20.00
NPE,PERON JUAN DOMINGO,230,LUIS PALACIOS,SANTA FE,LUN A VIE 07.30 A 13.30
CKY,RIO DE LA PLATA,0,CHAPUY,SANTA FE,LUN A VIE 08.00 A 12.00
XTM,SAN MARTIN GENERAL JOSE DE,0,VILLA LA BOLSA,CORDOBA,SAB 08.00 A 13.00 / VIERNES 08.00 A 13.00 / MARTES 08.00 A 13.00 / MIE Y JUE 08.00 A 13.00
ITA,VOLLENWIERDER ENRIQUE,0,GRUTLY,SANTA FE,LUN A VIE 06.30 A 12.30
KVK,RIVADAVIA BERNARDINO,1697,POSADAS,MISIONES,LUN A VIE 07.00 A 20.00 / SAB 09.00 A 20.00
OQM,SAN MARTIN,1,RIO DE LOS SAUCES,CORDOBA,LUN A SAB 07.00 A 14.00
PPN,21,3702,BERAZATEGUI,BUENOS AIRES,LUN A VIE 16.00 A 19.00 / LUN A SAB 09.00 A 14.00
PQN,SAN MARTIN,175,CALETA OLIVIA,SANTA CRUZ,LUN A VIE 09.00 A 13.00 / LUN A VIE 16.00 A 20.00 / SAB 09.00 A 13.00
SMF,PARANA,1205,ESTACION CLUCELLAS,SANTA FE,LUN A VIE 07.00 A 13.00
PWC,EX COMBATIENTES,337,TRES ISLETAS,CHACO,LUN A VIE 08.00 A 12.30 / LUN A VIE 17.00 A 20.30 / SAB 09.00 A 13.00 / SAB 17.00 A 20.30
PWD,ARIJON MANUEL,1697,ROSARIO,SANTA FE,LUN A VIE 08.00 A 13.00 / LUN A VIE 15.30 A 19.30
PWE,AYACUCHO BATALLA DE,5435,ROSARIO,SANTA FE,LUN A VIE 08.00 A 17.00
PWF,MENDOZA,5601,ROSARIO,SANTA FE,LUN A VIE 08.00 A 13.00 / LUN A VIE 15.30 A 19.30
PWG,MITRE,1286,VILLA GOBERNADOR GALVEZ,SANTA FE,LUN A VIE 08.00 A 13.00 / LUN A VIE 15.30 A 19.30
PWH,LAGOS OVIDIO,3496,ROSARIO,SANTA FE,LUN A VIE 08.00 A 13.00 / LUN A VIE 15.00 A 19.00
PWI,LAGOS (C) OVIDIO,4541,ROSARIO,SANTA FE,LUN A VIE 08.00 A 13.00 / LUN A VIE 15.00 A 19.00
PWJ,RIOJA,1243,ROSARIO,SANTA FE,LUN A VIE 09.00 A 18.00
PWK,SAN MARTIN GENERAL JOSE DE,5535,ROSARIO,SANTA FE,LUN A VIE 08.00 A 13.00 / LUN A VIE 15.30 A 19.30
PWL,BALBIN DOCTOR RICARDO,139,SAN MIGUEL,BUENOS AIRES,LUN A VIE 08.00 A 19.00
PWM,BURGWARDT EMILIO,876,LONGCHAMPS,BUENOS AIRES,LUN A VIE 17.00 A 19.00 / LUN A SAB 10.00 A 13.00
PWN,NEUQUEN,1043,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 09.00 A 17.00
PWP,LOPEZ JOSE A,1918,SAN FRANCISCO SOLANO,BUENOS AIRES,LUN A VIE 09.00 A 19.00 / LUN A SAB 09.00 A 13.00
PWQ,BELGRANO GENERAL MANUEL,969,SAN SALVADOR DE JUJUY,JUJUY,LUN A VIE 07.30 A 13.00 / LUN A VIE 15.30 A 20.00 / SAB 09.00 A 13.00
PWR,9 DE JULIO,751,MONTERRICO,JUJUY,LUN A VIE 08.30 A 13.00 / LUN A VIE 17.00 A 20.00 / SAB 08.30 A 13.00
PWU,BORGES JORGE LUIS,408,LA CALERA,CORDOBA,LUN A VIE 09.00 A 18.00
PWW,LOS ALAMOS,900,LA CALERA,CORDOBA,LUN A VIE 09.00 A 13.00 / LUN A VIE 14.00 A 18.00 / SAB 09.00 A 13.00
PWX,NUÑEZ RAFAEL,6433,CORDOBA,CORDOBA,LUN A VIE 08.00 A 20.00 / SAB 09.00 A 18.00
PWY,SAN MARTIN,1505,EL BOLSON,RIO NEGRO,LUN A SAB 16.30 A 21.00 / LUN A SAB 10.00 A 13.30
PWZ,ISLAS MALVINAS,405,CHOS MALAL,NEUQUEN,LUN A SAB 09.00 A 15.00 / LUN A SAB 17.00 A 23.30 / DOM 10.00 A 15.00
PXB,ONELLI CLEMENTE,1408,SAN CARLOS DE BARILOCHE,RIO NEGRO,LUN A SAB 09.00 A 22.00
PXC,JADULL JOSE,500,BUTA RANQUIL,NEUQUEN,LUN A DOM 07.00 A 22.00
PXD,BELGRANO MANUEL,158,VILLA REGINA,RIO NEGRO,LUN A VIE 08.00 A 12.30 / LUN A VIE 16.00 A 20.30 / SAB 09.00 A 12.30
PXE,SAN MARTIN GENERAL JOSE DE,0,CARPINTERIA,SAN LUIS,LUN A VIE 09.00 A 17.00
PXF,MITRE BARTOLOME,756,MENDOZA,MENDOZA,LUN A SAB 10.00 A 14.00 / LUN A SAB 17.00 A 21.00
PXG,GALIGNIANA LAUREANO,0,LA PAZ,MENDOZA,LUN A VIE 08.00 A 13.00 / LUN A VIE 17.00 A 21.00 / SAB 09.00 A 13.00 / SAB 17.30 A 21.00
PXH,LIBERTADOR SAN MARTIN,1150,SAN JUAN,SAN JUAN,LUN A VIE 10.00 A 21.00 / SAB 10.00 A 14.00
PXL,FUERZA AEREA ARGENTINA,4236,CORDOBA,CORDOBA,LUN A VIE 09.30 A 12.30 / LUN A VIE 16.00 A 19.00 / SAB 09.00 A 13.00
PXM,DE LOS ALEMANES,5751,CORDOBA,CORDOBA,LUN A VIE 09.30 A 12.30 / LUN A VIE 16.00 A 19.00 / SAB 09.00 A 13.00
PXN,FERREYRA OBISPO,756,VILLA DEL ROSARIO,CORDOBA,LUN A VIE 09.00 A 12.30 / LUN A VIE 17.00 A 20.30 / SAB 09.30 A 12.30 / SAB 18.00 A 20.00
PXO,ECHEVERRIA ESTEBAN,1008,BELLA VISTA,BUENOS AIRES,LUN A VIE 09.00 A 18.00 / SAB 09.00 A 13.00
PXP,PERON PRESIDENTE JUAN DOMINGO,25557,MERLO,BUENOS AIRES,LUN A VIE 09.00 A 17.30 / SAB 09.00 A 13.00
PXR,DIAZ CORONEL,1478,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 19.00 / SAB 10.00 A 14.00
PXS,NAZARRE,3248,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 09.00 A 19.00 / SAB 09.00 A 16.00
PXU,SUPE,1895,BANFIELD,BUENOS AIRES,LUN A VIE 09.00 A 14.00 / LUN A VIE 17.00 A 19.00 / SAB 09.00 A 13.00
PXW,VELEZ SARSFIELD DOCTOR DALMACIO,4519,MUNRO,BUENOS AIRES,LUN A VIE 09.00 A 13.30 / LUN A VIE 15.30 A 18.30 / SAB 10.00 A 13.00
PXY,ESPAÑA,3955,RAWSON,SAN JUAN,LUN A VIE 09.00 A 13.00 / LUN A VIE 16.00 A 19.00 / SAB 09.00 A 13.00
PXZ,MENDOZA,3752,RAWSON,SAN JUAN,LUN A VIE 09.00 A 13.00 / LUN A VIE 16.00 A 19.00 / SAB 09.00 A 13.00
PYA,RAWSON GUILLERMO,252,SAN JUAN,SAN JUAN,LUN A VIE 09.00 A 13.00 / LUN A VIE 16.00 A 19.00 / SAB 09.00 A 13.00
PYB,INDEPENDENCIA,0,VILLA LARCA,SAN LUIS,LUN A DOM 08.00 A 22.00
PYC,YRIGOYEN PRESIDENTE HIPOLITO,346,JUSTO DARACT,SAN LUIS,LUN A DOM 06.00 A 10.00
PYE,ARENALES,603,EUGENIO BUSTOS,MENDOZA,LUN A VIE 09.00 A 13.00 / LUN A VIE 16.30 A 20.30 / SAB 09.00 A 13.00
PYF,VARGAS PEDRO,1261,SAN RAFAEL,MENDOZA,LUN A SAB 09.00 A 20.30 / DOM 09.00 A 13.00
PYH,MORENO DOCTOR MARIANO,3302,LAS HERAS,MENDOZA,LUN A SAB 10.00 A 14.00 / LUN A SAB 18.00 A 21.00
PYI,LAS LENGAS,0,CAVIAHUE,NEUQUEN,LUN A SAB 09.00 A 14.00 / LUN A SAB 17.00 A 22.00 / DOM 09.00 A 14.00
PYJ,PONS INTENDENTE,370,CENTENARIO,NEUQUEN,LUN A VIE 09.00 A 13.00 / LUN A VIE 16.30 A 20.00
PYK,SARMIENTO DOMINGO FAUSTINO,248,NONO,CORDOBA,LUN A VIE 07.30 A 13.30 / LUN A VIE 16.30 A 20.30 / SAB 10.00 A 13.00 / SAB 17.00 A 20.00
PYL,SANTIAGO DEL ESTERO,829,MARCOS JUAREZ,CORDOBA,LUN A VIE 08.00 A 12.00 / LUN A VIE 16.00 A 20.00 / SAB 08.00 A 12.00
PYM,YRIGOYEN PRESIDENTE HIPOLITO,355,TERMAS DE RIO HONDO,SANTIAGO DEL ESTERO,LUN A VIE 08.30 A 12.30 / LUN A VIE 17.00 A 21.00 / SAB 08.30 A 13.00
PYO,PEREZ SENADOR,132,SAN SALVADOR DE JUJUY,JUJUY,LUN A VIE 08.00 A 21.00 / SAB 09.00 A 13.00
PYP,INDEPENDENCIA,360,SAN SALVADOR DE JUJUY,JUJUY,LUN A VIE 08.00 A 13.00
PYQ,SNOPEK INGENIERO CARLOS,137,HUMAHUACA,JUJUY,LUN A VIE 09.00 A 12.30 / LUN A VIE 17.30 A 20.30 / SAB 09.00 A 12.30
PYS,EJERCITO DEL NORTE,1532,SAN MIGUEL DE TUCUMAN,TUCUMAN,LUN A VIE 08.00 A 14.00
PYU,PUEYRREDON,2421,CHACRAS DE CORIA,MENDOZA,LUN A SAB 10.00 A 14.00
PYW,7,686,BERAZATEGUI,BUENOS AIRES,LUN A VIE 08.00 A 19.00 / SAB 08.00 A 15.00
PYX,YRIGOYEN PRESIDENTE HIPOLITO,2550,JOSE C PAZ,BUENOS AIRES,LUN A VIE 08.00 A 16.00 / SAB 08.00 A 13.00
PYY,BALBIN DOCTOR RICARDO,2625,CIUDAD JARDIN DEL PALOMAR,BUENOS AIRES,LUN A VIE 08.00 A 19.00 / SAB 08.00 A 14.00
PYZ,ROCA PRESIDENTE GENERAL JULIO ARGENTINO,76,SAN SALVADOR DE JUJUY,JUJUY,LUN A VIE 08.00 A 20.00 / SAB 08.00 A 15.00
PZA,DUARTE DE PERON MARIA EVA,1841,SAN SALVADOR DE JUJUY,JUJUY,LUN A SAB 09.00 A 14.30 / LUN A SAB 16.30 A 21.00 / DOM 09.00 A 14.00
PZC,MARENGO,4479,VILLA BALLESTER,BUENOS AIRES,LUN A VIE 09.00 A 17.30 / SAB 10.00 A 12.30
PZE,UGARTE MARTIN L,1048,VILLA CELINA,BUENOS AIRES,LUN A VIE 09.00 A 16.00 / SAB 09.00 A 13.00
PZP,CUBA,19,SAN RAFAEL,MENDOZA,LUN A VIE 09.30 A 13.00 / LUN A VIE 16.30 A 21.00 / SAB 10.00 A 14.00 / SAB 16.30 A 21.00
PZR,MORENO JOSE FEDERICO,1754,MENDOZA,MENDOZA,LUN A SAB 08.00 A 13.00
PZS,ZAPATA MARTIN,205,MENDOZA,MENDOZA,LUN A VIE 09.00 A 22.00 / SAB 09.00 A 22.00 / DOM 09.00 A 22.00
PZT,BARI SAN NICOLAS DE,669,LA RIOJA,LA RIOJA,LUN A VIE 10.00 A 22.00 / SAB 09.00 A 17.00
QAA,BUCCINO,596,PLAYAS DORADAS,RIO NEGRO,LUN A VIE 09.00 A 14.00
QAC,SAN MARTIN,348,TRELEW,CHUBUT,LUN A VIE 09.30 A 13.00
QAZ,BUTELER MONSEÑOR,636,LAS HERAS,MENDOZA,LUN A VIE 09.00 A 14.00 / LUN A VIE 16.30 A 19.30 / SAB 09.00 A 14.00
QBI,ECHARREN JUAN,255,COLONIA JULIA Y ECHARREN,RIO NEGRO,LUN A VIE 09.00 A 13.00 / LUN A VIE 17.00 A 21.00
EHJ,AV. ROCA S/NRO,                              ,PUERTO YERUA,ENTRE RIOS,LUN A VIE 08.30 A 13.00 / LUN A VIE 16.30 A 21.00 / SAB 16.00 A 21.00
QBJ,CHURRUARIN,1298,PARANA,ENTRE RIOS,LUN A VIE 09.00 A 12.30 / LUN A VIE 16.00 A 19.00 / SAB 09.00 A 12.00
PZG,AMEGHINO,305,PEHUEN CO,BUENOS AIRES,LUN A VIE 08.00 A 22.00
PZH,HUMBOLDT,255,BAHIA BLANCA,BUENOS AIRES,LUN A VIE 09.00 A 21.00 / SAB 09.00 A 20.00
PZI,NECOCHEA,602,BAHIA BLANCA,BUENOS AIRES,LUN A DOM 06.30 A 21.30
PZJ,RIO SEGUNDO,1139,PILAR,BUENOS AIRES,LUN A VIE 09.30 A 17.30
PZK,ESTRADA JOSE MANUEL,30,NAVARRO,BUENOS AIRES,LUN A VIE 07.30 A 20.30 / SAB 08.30 A 20.30
PZL,DEL LIBERTADOR,198,INDIO RICO,BUENOS AIRES,LUN A VIE 08.00 A 20.00
PZM,RUTA 2 KM 383 1/2,                              ,COBO,BUENOS AIRES,LUN A SAB 09.00 A 20.00 / DOM 11.00 A 17.00
PZN,ORTEGA Y GASSET JOSE,706,MAR DEL PLATA,BUENOS AIRES,LUN A VIE 07.00 A 21.00 / SAB A DOM 09.00 A 21.00
PZO,ALEM LEANDRO NICEFORO,1541,SAN ANDRES DE GILES,BUENOS AIRES,LUN A DOM 08.00 A 24.00
PZU,CACHEUTA,3621,CORDOBA,CORDOBA,LUN A VIE 09.00 A 15.00 / LUN A VIE 18.00 A 23.00 / SAB 09.00 A 14.00 / SAB 18.00 A 23.00
PZZ,SAN MARTIN,0,YUTO,JUJUY,LUN A SAB 09.00 A 22.00
QBM,CABRAL SARGENTO,1941,RIVADAVIA,SAN JUAN,LUN A VIE 17.00 A 22.00 / LUN A VIE 08.30 A 13.30 / SAB 09.00 A 13.30 / SAB 17.00 A 21.00
PZV,SANTA FE,660,CORRAL DE BUSTOS,CORDOBA,LUN A VIE 08.00 A 12.00 / LUN A VIE 16.00 A 20.00 / SAB 09.00 A 16.00
PZW,16,421,CHAZON,CORDOBA,LUN A VIE 09.00 A 24.00
QCL,TUCUMAN,545,COMODORO RIVADAVIA,CHUBUT,LUN A VIE 16.00 A 19.00 / LUN A VIE 09.30 A 12.00 / SAB 10.00 A 13.00 / SAB 16.00 A 19.00
QCS,BUQUE FRAY LUIS BELTRAN,980,COMODORO RIVADAVIA,CHUBUT,LUN A VIE 08.00 A 16.00
QCV,YRIGOYEN PRESIDENTE HIPOLITO,829,ZARATE,BUENOS AIRES,LUN A VIE 09.00 A 13.00 / LUN A VIE 16.00 A 18.00
QCW,9,0,BELEN DE ESCOBAR,BUENOS AIRES,LUN A VIE 09.00 A 16.00
QCZ,MITRE,302,MEDANOS,BUENOS AIRES,LUN A VIE 08.00 A 22.00
QDB,LAVALLE,900,PIGUE,BUENOS AIRES,LUN A VIE 08.00 A 13.00 / LUN A VIE 17.00 A 21.00 / SAB 08.00 A 13.00
QDD,CABRAL SARGENTO JUAN BAUTISTA,74,LAS MALVINAS,BUENOS AIRES,LUN A VIE 07.00 A 13.00 / LUN A VIE 16.00 A 19.00 / SAB 08.00 A 13.00 / SAB 16.00 A 18.30
QDG,LAVALLE,209,FELIPE SOLA,BUENOS AIRES,LUN A VIE 08.30 A 13.30
QDS,LOYOLA PROLONGACION MARTIN DE,779,SAN LUIS,SAN LUIS,LUN A VIE 09.00 A 19.00 / SAB 09.00 A 17.00
QDT,BELGRANO MANUEL,884,SAN LUIS,SAN LUIS,LUN A VIE 09.30 A 13.00 / LUN A VIE 17.00 A 20.00 / SAB 09.30 A 12.00
QDW,GUARDIA VIEJA,4558,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 17.00
QDZ,ANCHORENA DOCTOR TOMAS MANUEL DE,535,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 09.00 A 20.00 / SAB 09.00 A 14.00
QEA,URUGUAY REPUBLICA ORIENTAL DEL,92,MORON,BUENOS AIRES,LUN A VIE 09.00 A 18.00 / SAB 09.00 A 13.00
QEB,VERGARA GOBERNADOR DOCTOR VALENTIN,2330,VILLA SANTOS TESEI,BUENOS AIRES,LUN A VIE 16.00 A 19.00 / LUN A VIE 09.30 A 13.00 / SAB 09.30 A 14.00
QEC,REAÑO,6805,GREGORIO DE LAFERRERE,BUENOS AIRES,LUN A VIE 10.00 A 17.00 / SAB 10.00 A 13.00
QEK,SAN JUAN,1445,ARIAS,CORDOBA,LUN A SAB 09.00 A 12.00 / LUN A SAB 15.00 A 19.00
QEL,CASEROS,1181,CORDOBA,CORDOBA,LUN A SAB 08.00 A 24.00 / DOM 09.00 A 24.00
QEN,PUEYRREDON JUAN M DE,282,CORDOBA,CORDOBA,LUN A SAB 09.00 A 21.00
QEO,LOS GRANADEROS,3007,CORDOBA,CORDOBA,LUN A VIE 09.00 A 18.00 / SAB 09.00 A 13.00
QER,SARMIENTO,285,BELLA VISTA,TUCUMAN,LUN A DOM 08.00 A 20.00
QES,BELGRANO GENERAL MANUEL,700,LA PUERTA,CORDOBA,LUN A VIE 08.00 A 12.00 / LUN A VIE 16.00 A 20.00 / SAB 08.00 A 13.00
QET,ALVARADO GENERAL RUDECINDO,2147,SALTA,SALTA,LUN A VIE 09.00 A 15.00 / LUN A VIE 17.30 A 22.00 / SAB A DOM 10.00 A 15.00 / SAB A DOM 18.00 A 23.00
QUE,MARTIJENA GENERAL PIO,15,PALPALA,JUJUY,LUN A VIE 09.00 A 13.00 / LUN A VIE 17.30 A 21.30 / SAB 09.00 A 13.00
QEY,CABILDO ABIERTO,259,GODOY CRUZ,MENDOZA,LUN A VIE 10.00 A 13.00 / LUN A VIE 18.00 A 21.00 / SAB 10.00 A 13.00
QFB,DEL CASTILLO SEVERO,5061,LOS CORRALITOS,MENDOZA,LUN A SAB 10.00 A 13.30
QFC,CERVANTES SAAVEDRA MIGUEL DE,1772,GODOY CRUZ,MENDOZA,LUN A VIE 17.00 A 20.30 / LUN A VIE 09.30 A 13.30 / SAB 10.00 A 17.00
QEV,PERON EVA,320,BARRANQUERAS,CHACO,LUN A SAB 08.00 A 21.00
QFG,RIM 26,534,ALUMINE,NEUQUEN,LUN A SAB 08.30 A 22.00
QFJ,GREGORES GOBERNADOR JUAN MANUEL,1294,EL CALAFATE,SANTA CRUZ,LUN A VIE 10.00 A 13.00 / LUN A VIE 16.00 A 21.00
QFM,ECHEVERRIA,5008,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 20.00 / SAB 10.00 A 13.00
QFN,MITRE EMILIO,812,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 09.00 A 19.00 / SAB 13.00 A 16.00
QFO,BALBIN DOCTOR RICARDO,3305,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 10.00 A 18.00
QFP,DEL BARCO CENTENERA,3039,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 09.00 A 17.00
QFU,SAN LORENZO,550,SAN VICENTE,SANTA FE,LUN A VIE 09.00 A 14.00 / LUN A VIE 16.00 A 20.30 / SAB 10.00 A 12.00
QFV,SAN MARTIN,0,STROBEL,ENTRE RIOS,LUN A VIE 07.30 A 11.00
QBS,RAMIREZ GENERAL FRANCISCO,2499,PARANA,ENTRE RIOS,LUN A VIE 09.00 A 13.00 / LUN A VIE 16.00 A 20.00
QBX,MZA 80 CASA 38 BARRIO DIVINO NIÑO,0,FORMOSA,FORMOSA,LUN A VIE 08.00 A 13.00 / LUN A VIE 16.00 A 20.00 / SAB 09.00 A 13.00
QAJ,SALTA,65,RESISTENCIA,CHACO,LUN A SAB 08.30 A 12.30 / LUN A SAB 16.30 A 21.00
QAK,ILLIA PRESIDENTE ARTURO HUMBERTO,115,SANTIAGO DEL ESTERO,SANTIAGO DEL ESTERO,LUN A SAB 09.00 A 13.00 / LUN A SAB 18.00 A 21.00
QAO,S/C,0,LOS RALOS,TUCUMAN,LUN A VIE 08.30 A 12.30 / LUN A VIE 18.00 A 20.00 / SAB 09.00 A 12.00
QFR,BROWN ALMIRANTE GUILLERMO,0,LAS HERAS,MENDOZA,LUN A VIE 09.00 A 13.00 / SAB 09.00 A 13.00
QFQ,CENTENARIO,1099,SAN LUIS,SAN LUIS,LUN A VIE 08.30 A 13.00 / LUN A VIE 16.00 A 20.30 / SAB 09.00 A 13.00 / SAB 17.00 A 20.00
QAQ,ECHEVERRIA,432,SAN FRANCISCO,CORDOBA,LUN A VIE 10.00 A 19.00
JCY,SANTA FE,2844,CIUDAD AUTONOMA BUENOS AIRES,CAPITAL FEDERAL,LUN A VIE 09.00 A 19.00
OSJ,GRAFIA INTENDENTE RAMON,192,CHARRAS,CORDOBA,LUN A VIE 07.00 A 13.00
ALN,LAVALLE,189,SAN SALVADOR DE JUJUY,JUJUY,LUN A SAB 09.00 A 13.00 / LUN A SAB 17.00 A 21.00
QFZ,SAN MARTIN,2228,UNQUILLO,CORDOBA,LUN A VIE 08.00 A 13.00 / LUN A VIE 18.00 A 20.00 / SAB 08.00 A 13.00
